
 Lista de Imóveis da Caixa;;Data de geração:;27/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 1444407012594 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ;RUA VITAL BRASIL, N. 379, ;230.707,78;362.000,00;36.27;Casa, 155.66 de área total, 155.66 de área privativa, 139.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407012594
 1600000161288 ;AC ;RIO BRANCO ;ESTACAO EXPERIMENTAL ; RUA BOA VISTA, N. SN, ;558.287,33;876.000,00;36.27;Casa, 310.94 de área total, 173.15 de área privativa, 630.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1600000161288
 10214913 ;AC ;RIO BRANCO ;CHACARA IPE ;ESTRADA DIAS MARTINS, N. 00, QD 08, LT 07 ;427.000,58;670.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 1307.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10214913
 1444405129400 ;AC ;RIO BRANCO ;NOVO HORIZONTE ;RUA ADEMAR DE BARROS, N. 74, ;240.904,81;378.000,00;36.27;Casa, 182.84 de área total, 182.84 de área privativa, 440.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405129400
 1555528608775 ;AC ;RIO BRANCO ;ABRAAO ALAB ;RUA ARI RODRIGUES, N. SN, ;197.567,43;310.000,00;36.27;Terreno, 0.00 de área total, 0.00 de área privativa, 630.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555528608775
 1555526252809 ;AC ;RIO BRANCO ;PARQUE DOS SABIAS ;RUA PALERMO, N. 49, QD02 CS49 ;242.816,75;381.000,00;36.27;Casa, 0.00 de área total, 70.85 de área privativa, 149.80 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526252809
 1444405651913 ;AC ;RIO BRANCO ;CONJUNTO OURICURI ;RUA EMA, N. SN, LT 11 QD 38A ;200.116,69;314.000,00;36.27;Casa, 200.00 de área total, 98.95 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s).;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405651913
 1555523583880 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA JATUARANA, N. 77, ;191.831,60;301.000,00;36.27;Casa, 149.95 de área total, 149.95 de área privativa, 250.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555523583880
 1555506702426 ;AC ;RIO BRANCO ;LOTEAMENTO NOVO HORIZONTE ;AVENIDA ANTONIO DA ROCHA VIANA, N. SN, LT10 QD 17 ;197.567,43;310.000,00;36.27;Casa, 169.53 de área total, 169.53 de área privativa, 350.00 de área do terreno,  4 qto(s), a.serv, WC, WC Emp, 2 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555506702426
 1444400380830 ;AC ;RIO BRANCO ;VILA IVONETE ;RUA CAMPINA GRANDE, N. 56,  LT 02, QD A ;377.290,07;592.000,00;36.27;Casa, 0.00 de área total, 83.99 de área privativa, 450.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444400380830
 8444410362442 ;AC ;RIO BRANCO ;MOCINHA MAGALHAES ;RUA DA PITANGA, N. 317, ;231.234,93;259.000,00;10.73;Casa, 143.95 de área total, 143.95 de área privativa, 283.80 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410362442
 1444403168387 ;AC ;RIO BRANCO ;Santo Afonso I ;R RAIMUNDO P DE MORAES, N. 14, LT 14 QD 55 ;340.000,00;340.000,00;0.00;Casa, 0.00 de área total, 138.20 de área privativa, 400.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444403168387
 1444409580107 ;AC ;RIO BRANCO ;TANCREDO NEVES ; RUA JORGE AMADO, N. 25, LT 02, QD 25 ;209.000,00;209.000,00;0.00;Casa, 67.44 de área total, 67.44 de área privativa, 300.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444409580107
 8555507130440 ;AC ;RIO BRANCO ;FLORESTA SUL ;AVENIDA VIA PARQUE, N. SN, Apto 301, BLOCO 09 ;194.000,00;194.000,00;0.00;Apartamento, 71.49 de área total, 49.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555507130440
 1555518425210 ;AC ;RIO BRANCO ;CALAFATE ; RUA 25 DE AGOSTO, N. SN, CASA 001 ;188.000,00;188.000,00;0.00;Casa, 58.40 de área total, 58.40 de área privativa, 125.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555518425210
 1444405193516 ;AC ;RIO BRANCO ;NOVA ESPERANCA ;RUA BENZINHO, N. S/N, QD 05 - LT 09 ;408.000,00;408.000,00;0.00;Casa, 163.83 de área total, 163.83 de área privativa, 200.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444405193516
 1444406204040 ;AC ;RIO BRANCO ;CONJUNTO ADALBERTO SENA ;RUA CASTANHEIRA, N. SN, LT 11, QD 13 ;210.000,00;210.000,00;0.00;Casa, 70.00 de área total, 70.00 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444406204040
 8444406873748 ;AC ;RIO BRANCO ;CONJUNTO ADALBERTO SENA ;RUA JOAO COSTA, N. 247,  CS 04 QD 05 ;313.000,00;313.000,00;0.00;Casa, 176.66 de área total, 176.66 de área privativa, 275.00 de área do terreno,  3 qto(s), a.serv, WC, 2 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406873748
 1555526429571 ;AC ;RIO BRANCO ;CONJUNTO PAULO CESAR DE OLIVEIRA ;RUA BOA VISTA, N. 182, ;1.399.809,94;1.339.000,00;0.00;Casa, 440.14 de área total, 440.14 de área privativa, 1800.00 de área do terreno,  4 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555526429571
 1555520920966 ;AC ;RIO BRANCO ;JOSE AUGUSTO ;RUA GREMIO ATLETICO SAMPAIO, N. 55, ;338.621,48;295.000,00;0.00;Casa, 93.72 de área total, 93.72 de área privativa, 273.33 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555520920966
 1555502309312 ;AL ;ARAPIRACA ;CANAFISTULA ;RUA PROJETADA, N. 101, Apto ., LT 02 QD A ;152.299,82;311.783,49;51.16;Casa, 0.00 de área total, 174.95 de área privativa, 214.16 de área do terreno,  3 qto(s), a.serv, WC, WC Emp, 2 sala(s), DCE, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1555502309312
 8444406201928 ;AL ;ARAPIRACA ;BOA VISTA ;RUA PROJETADA A, N. 69, LT 14 ;94.281,79;172.000,00;45.19;Casa, 0.00 de área total, 83.25 de área privativa, 168.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406201928
 8444421583135 ;AL ;ARAPIRACA ;CANAFISTULA ; RUA EM PROJETO B, N. S/N, LT 34, QD G ;65.921,81;115.000,00;42.68;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421583135
 8444403135070 ;AL ;ARAPIRACA ;BOA VISTA ;R PROJETADA B, N. 120, LT 13 QD C ;114.264,37;199.000,00;42.59;Casa, 0.00 de área total, 84.24 de área privativa, 189.00 de área do terreno,  3 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403135070
