
 Lista de Imóveis da Caixa;;Data de geração:;27/10/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444425352901 ;CE ;HORIZONTE ;BAIRRO CARNAUBAL ;RUA NORUEGA, N. 44A, 0 ;35.916,27;130.000,00;72.38;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425352901
 8444404190287 ;CE ;HORIZONTE ;VERTENTE ;RUA ALEMANHA (ANTIGA RUA SDO 01), N. 318, CS B ;35.363,72;128.000,00;72.38;Casa, 0.00 de área total, 67.79 de área privativa, 444.39 de área do terreno,  3 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404190287
 8444417951257 ;CE ;HORIZONTE ;VERTENTE ;RUA PROJETADA, N. 155, CS A ;34.811,16;126.000,00;72.38;Casa, 60.15 de área total, 60.15 de área privativa, 280.79 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417951257
 8444419217151 ;CE ;HORIZONTE ;CARNAUBAL ;RUA AUSTRIA, N. 125A, LT 03 ;39.112,36;140.000,00;72.07;Casa, 0.00 de área total, 60.70 de área privativa, 232.66 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419217151
 8444425003923 ;CE ;HORIZONTE ;CARNAUBAL ;RUA DINAMARCA, N. 175A, LT 54 ;43.302,97;155.000,00;72.07;Casa, 0.00 de área total, 60.70 de área privativa, 230.01 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425003923
 8444426186339 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 184A, LT 72 ;39.112,36;140.000,00;72.07;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426186339
 8444426366302 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 194B, LT 73 ;40.984,16;146.700,00;72.07;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426366302
 8444426770910 ;CE ;HORIZONTE ;PLANALTO DA GALILÉIA ;RUA ADAUTO FARIAS, N. 400,  CS A ;39.391,73;141.000,00;72.07;Casa, 0.00 de área total, 63.15 de área privativa, 250.79 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426770910
 8444426791550 ;CE ;HORIZONTE ;CARNAUBAL ;RUA CROACIA, N. SN, CS 46H DISTRITO DOURADO ;41.906,10;150.000,00;72.07;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426791550
 8444407731742 ;CE ;HORIZONTE ;DIADEMA ;RUA MARIA FRANCISCA DE JESUS, N. 236, CS B ;39.950,48;143.000,00;72.07;Casa, 0.00 de área total, 76.95 de área privativa, 180.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407731742
 8444410923185 ;CE ;HORIZONTE ;DIADEMA ;RUA JOAQUIM PEDRO MACIEL DE OLIVEIRA, N. 259 ;39.509,07;141.420,00;72.07;Casa, 0.00 de área total, 74.64 de área privativa, 0.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410923185
 8444417593245 ;CE ;HORIZONTE ;VERTENTE ;RUA N, N. 49, LT 21 CS A ;39.382,52;140.967,03;72.07;Casa, 0.00 de área total, 60.15 de área privativa, 150.19 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417593245
 8444424304679 ;CE ;HORIZONTE ;DESTRITO DOURADO ;RUA DINAMARCA, N. 119, CASA 119A ;45.270,37;160.000,00;71.71;Casa, 0.00 de área total, 60.70 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424304679
 8444422804259 ;CE ;HORIZONTE ;SAO JOSE ;RUA FRANCISCO BRINDEIRO DA SILVA, N. 134 ;46.685,06;165.000,00;71.71;Casa, 0.00 de área total, 79.67 de área privativa, 150.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422804259
 8444423580451 ;CE ;HORIZONTE ;SAO JOSE ;RUA FRANCISCO BRINDEIRO DA SILVA, N. 146, LT 29A QD 01 ;50.646,22;179.000,00;71.71;Casa, 0.00 de área total, 79.67 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423580451
 8444425477305 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 45, CS B ;29.914,27;105.000,00;71.52;Casa, 0.00 de área total, 60.70 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425477305
 8787702519727 ;CE ;HORIZONTE ;DIADEMA ;RUA ELIAS NICOLAU DE CARVALHO, N. 489, LOTE A QD 10 ;53.310,59;184.562,00;71.12;Casa, 0.00 de área total, 85.00 de área privativa, 179.99 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702519727
 8444424668220 ;CE ;HORIZONTE ;CARNAUBAL ;RUA DINAMARCA, N. 141B ;39.043,85;135.000,00;71.08;Casa, 0.00 de área total, 60.70 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424668220
 8444427438749 ;CE ;HORIZONTE ;RESIDENCIAL DOURADO ;RUA CROACIA, N. 0, 101  D ;42.744,22;145.000,00;70.53;Casa, 0.00 de área total, 60.70 de área privativa, 1155.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427438749
 8444425768806 ;CE ;HORIZONTE ;CAJUEIRO DA MALHADA ;RUA VINTE DE NOVEMBRO, N. 40A, 0 ;43.099,53;146.000,00;70.48;Casa, 0.00 de área total, 64.37 de área privativa, 217.21 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425768806
 8444408981254 ;CE ;HORIZONTE ;VERTENTE ;RUA ESPANHA, N. 150, CS B ;41.906,10;140.000,00;70.07;Casa, 0.00 de área total, 53.14 de área privativa, 264.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408981254
 8444423858255 ;CE ;HORIZONTE ;CANAUBAL ;RUA DINAMARCA, N. 54, CS A ;33.554,20;112.000,00;70.05;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423858255
 8444413476180 ;CE ;HORIZONTE ;VERTENTE ;TRAVESSA SALVINA MACHADO DE ALMEIDA, N. SN, CS 33A, LT 06 ;30.067,44;100.000,00;69.94;Casa, 0.00 de área total, 53.11 de área privativa, 106.75 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444413476180
 8444427075409 ;CE ;HORIZONTE ;CARNAUBAL ;RUA CROACIA, N. 96G, LT 04 QD 02 ;48.486,97;161.000,00;69.89;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427075409
 8444414254911 ;CE ;HORIZONTE ;ZUMBI ;RUA 3, N. 27, LT 4, QD 04 ;52.909,74;175.000,00;69.77;Casa, 0.00 de área total, 78.62 de área privativa, 175.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414254911
 8444425872360 ;CE ;HORIZONTE ;DOURADO ;RUA NORUEGA, N. 115 A, 0 ;41.027,43;135.000,00;69.61;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425872360
 8444425978355 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 154 A, 0 ;38.900,09;128.000,00;69.61;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425978355
 8444427063028 ;CE ;HORIZONTE ;BAIRRO CARNAUBAL ;RUA CROACIA, N. 96, UN H ;40.419,62;133.000,00;69.61;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427063028
 8444403380996 ;CE ;HORIZONTE ;VERTENTE ;AVENIDA MARINA FERREIRA DE ALMEIRS, N. 526, CASA B ;39.507,90;130.000,00;69.61;Casa, 0.00 de área total, 53.14 de área privativa, 282.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403380996
 8444414689098 ;CE ;HORIZONTE ;ALTO DA ESTRELA ;RUA ROMAO RAMALHO DA SILVA, N. 790, CASAB GEMINADA ;50.287,32;165.000,00;69.53;Casa, 0.00 de área total, 83.17 de área privativa, 275.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414689098
 8444403483345 ;CE ;HORIZONTE ;VERTENTE ;RUA SDO 01, N. 220, CS A ;25.603,83;84.000,00;69.52;Casa, 0.00 de área total, 53.14 de área privativa, 141.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444403483345
 8444421725770 ;CE ;HORIZONTE ;ZUMBI ;RUA  FRANCISCO BRINDEIRO DA SILVA, N. 152, LT30 QD01 ;46.934,83;153.000,00;69.33;Casa, 0.00 de área total, 79.67 de área privativa, 150.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421725770
 8444412796482 ;CE ;HORIZONTE ;HORIZONTE ;RUA JUVENAL SEMEAO, N. 364, CS A ;42.716,28;139.000,00;69.27;Casa, 0.00 de área total, 62.19 de área privativa, 272.36 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412796482
 8444424897351 ;CE ;HORIZONTE ;CARNAUBAL ;RUA DINAMARCA, N. 154, CS B ;46.711,33;152.000,00;69.27;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424897351
 8444424785120 ;CE ;HORIZONTE ;CENTRO ;RUA DINAMARCA, N. 154, A ;46.711,33;152.000,00;69.27;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424785120
 8444409366049 ;CE ;HORIZONTE ;ALTO DA ESTRELA ;RUA CHICO PORO, N. 213 ;44.560,15;145.000,00;69.27;Casa, 0.00 de área total, 108.77 de área privativa, 203.00 de área do terreno, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409366049
 8444417132620 ;CE ;HORIZONTE ;ALTO DA ESTRELA ;RUA ROMAO RAMALHO DA SILVA, N. 810, CASA B LT 05 ;44.560,15;145.000,00;69.27;Casa, 0.00 de área total, 83.17 de área privativa, 275.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417132620
 8444423793889 ;CE ;HORIZONTE ;CAJUEIRO DA MALHADA ;RUA JOSE RUFINO, N. 65, CS B ;45.789,39;149.000,00;69.27;Casa, 0.00 de área total, 65.20 de área privativa, 305.33 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423793889
 8444423577280 ;CE ;HORIZONTE ;DOURADO ;RUA DINAMARCA, N. 53, CASA B ;35.501,86;115.000,00;69.13;Casa, 170.18 de área total, 60.70 de área privativa, 115.44 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444423577280
 8444425561080 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 54B, LT 43 ;40.234,04;130.000,00;69.06;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425561080
 8444421380692 ;CE ;HORIZONTE ;VERTENTE ;RUA  O, N. 51A, 0 ;38.693,48;125.000,00;69.05;Casa, 0.00 de área total, 64.49 de área privativa, 212.83 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421380692
 8444428268502 ;CE ;HORIZONTE ;CARNAUBAL ;RUA GRECIA, N. 68F, CS 68F ;48.863,70;157.000,00;68.88;Casa, 0.00 de área total, 60.70 de área privativa, 121.88 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428268502
 8444424465206 ;CE ;HORIZONTE ;CENTRO ;RUA DINAMARCA, N. 120, A ;48.863,70;157.000,00;68.88;Casa, 0.00 de área total, 60.70 de área privativa, 230.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424465206
 8444427249180 ;CE ;HORIZONTE ;DIADEMA ;RUA JOSE VALE, N. 24, . ;48.552,47;156.000,00;68.88;Casa, 0.00 de área total, 74.64 de área privativa, 1440.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427249180
 8444420712250 ;CE ;HORIZONTE ;VERTENTE ;RUA N, N. 89, CS A LT 19 ;49.486,17;159.000,00;68.88;Casa, 0.00 de área total, 60.15 de área privativa, 293.92 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420712250
 8444429365978 ;CE ;HORIZONTE ;VERTENTE ;RUA ROMENIA, N. 82, CS 82E ;49.797,40;160.000,00;68.88;Casa, 0.00 de área total, 66.15 de área privativa, 116.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444429365978
 8555525683294 ;CE ;HORIZONTE ;VERTENTE ;RUA  SDO 01, N. 124, CS B ;48.863,70;157.000,00;68.88;Casa, 0.00 de área total, 53.14 de área privativa, 141.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525683294
 8444425491120 ;CE ;HORIZONTE ;ALTO DA ESTRELA ;RUA  JOSE ALBERTO DA SILVA, N. 105, LT 22A ;51.353,57;165.000,00;68.88;Casa, 0.00 de área total, 84.63 de área privativa, 186.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425491120
 8444404812849 ;CE ;HORIZONTE ;VERTENTE ;RUA SDO, N. 233, CASA A ;32.517,82;104.220,00;68.80;Casa, 53.14 de área total, 53.14 de área privativa, 282.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404812849
 8787706061644 ;CE ;HORIZONTE ;ALTO DA ESTRELA ;RUA JOAO HENRIQUE SOARES, N. 152A ;34.154,76;109.000,00;68.67;Casa, 0.00 de área total, 56.50 de área privativa, 220.00 de área do terreno,  2 qto(s), 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787706061644
 8444428313141 ;CE ;HORIZONTE ;LAGOINHA ;AVENIDA ENIR SANTOS, N. 2240C, . ;59.734,02;188.000,00;68.23;Casa, 0.00 de área total, 81.47 de área privativa, 161.70 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444428313141
 8444405250240 ;CE ;HORIZONTE ;VERTENTE ;RUA SDO 01, N. 125-A, LT 11 ;40.788,60;128.000,00;68.14;Casa, 53.14 de área total, 53.14 de área privativa, 282.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444405250240
 8444426306881 ;CE ;HORIZONTE ;CARNAUBAL ;RUA NORUEGA, N. 195B, LT 66 ;46.606,09;146.000,00;68.08;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426306881
 8444411013247 ;CE ;HORIZONTE ;DIADEMA ;RUA SANTA RITA, N. SN, CS 16 ;45.591,48;142.000,00;67.90;Casa, 0.00 de área total, 94.73 de área privativa, 720.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411013247
 8444425589634 ;CE ;HORIZONTE ;CARNAUBAL DOURADOS ;RUA NORUEGA, N. 65B, CS B, LT 31 ;41.939,16;130.000,00;67.74;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425589634
 8444417050985 ;CE ;HORIZONTE ;ZUMBI ;RUA 5, N. 198, CASA A ;57.018,93;176.227,36;67.65;Casa, 0.00 de área total, 71.26 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417050985
 8444424107911 ;CE ;HORIZONTE ;CARNAUBAL  DIS DOURA ;RUA DINAMARCA, N. 97B, LOTE 8 ;36.931,41;113.000,00;67.32;Casa, 0.00 de área total, 60.70 de área privativa, 115.44 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424107911
 8444426356366 ;CE ;HORIZONTE ;DOURADO ;RUA NORUEGA, N. SN, LT 68 CS 221A ;35.950,93;110.000,00;67.32;Casa, 0.00 de área total, 60.70 de área privativa, 116.15 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426356366
 8444425901450 ;CE ;HORIZONTE ;CENTRO ;RUA SDO 01, N. 199, UN A LT 13 ;34.970,45;107.000,00;67.32;Casa, 0.00 de área total, 56.50 de área privativa, 110.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425901450
 8444404986251 ;CE ;HORIZONTE ;VERTENTE ;RUA SDO 01 ALEMANHA, N. 209, CASA A ;33.009,49;101.000,00;67.32;Casa, 0.00 de área total, 53.14 de área privativa, 282.00 de área do terreno,  2 qto(s), WC, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444404986251
 8444406004928 ;CE ;HORIZONTE ;VERTENTE ;AVENIDA MARINA FERREIRA DE ALMEIDA, N. 5104, CASA B ;35.950,93;110.000,00;67.32;Casa, 0.00 de área total, 53.14 de área privativa, 132.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444406004928
 8444407196707 ;CE ;HORIZONTE ;VERTENTE ;RUA ESPANHA, N. 209, CASA A ;33.336,31;102.000,00;67.32;Casa, 0.00 de área total, 53.14 de área privativa, 132.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444407196707
 8444408552833 ;CE ;HORIZONTE ;VERTENTE ;RUA ESPANHA, N. 246, CS B ;34.316,80;105.000,00;67.32;Casa, 0.00 de área total, 53.14 de área privativa, 264.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408552833
 8444410551830 ;CE ;HORIZONTE ;VERTENTE ;RUA  PORTUGA, N. 98, CS A ;35.297,28;108.000,00;67.32;Casa, 0.00 de área total, 53.14 de área privativa, 132.00 de área do terreno,  2 qto(s), WC, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444410551830
 8444417439629 ;CE ;HORIZONTE ;VERTENTE ;RUA SDO TRAVESSA EUROPA, N. 44 A, LT 01A ;36.931,41;113.000,00;67.32;Casa, 0.00 de área total, 58.02 de área privativa, 113.60 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417439629
 8444424193524 ;CE ;HORIZONTE ;CARNAUBAL  DIS DOURA ;RUA DINAMARCA, N. 109B, LT09 ;40.988,85;125.000,00;67.21;Casa, 0.00 de área total, 60.70 de área privativa, 115.44 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424193524
 8444424318122 ;CE ;HORIZONTE ;CARNAUBAL  DISTRITO ;RUA DINAMARCA, N. 119B, . ;40.988,85;125.000,00;67.21;Casa, 0.00 de área total, 60.70 de área privativa, 115.44 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424318122
 8444425196489 ;CE ;HORIZONTE ;CARNAUBAL ;RUA DINAMARCA, N. 166A, 0 ;37.709,74;115.000,00;67.21;Casa, 0.00 de área total, 60.70 de área privativa, 231.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425196489
 8444427043396 ;CE ;HORIZONTE ;DOURADO ;RUA CROACIA, N. 96I, QD 02 LT 04 ;40.988,85;125.000,00;67.21;Casa, 0.00 de área total, 60.70 de área privativa, 115.50 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427043396
